Time PPRED IPRED PWRES IWRES NPDE Sex
0.5 15.518 10.218 -0.73186 0.46742 -0.67537 1
1 12.422 8.4849 -1.1334 -0.9146 -1.1831 1
0.5 15.518 10.432 -0.88504 -0.2492 -0.92274 1
24 0.67765 0.41725 -0.4257 -0.021172 -0.31735 1
4 4.0331 6.7026 2.2769 1.2573 2.1053 1
12 1.2877 2.7219 1.0708 -0.06234 1.0231 1
12 1.2877 1.049 -0.20302 0.34757 0.033503 1
24 0.67765 0.51157 -0.58833 -0.45364 -0.48477 1
1 12.422 11.151 -0.28642 -0.16072 -0.19157 0
4 4.0331 4.6148 0.63731 0.49926 0.70797 0
4 4.0331 2.7929 -0.52103 0.19035 -0.42355 0
12 1.2877 0.69908 -0.93501 -0.58225 -1.0537 0
0.5 15.518 21.357 0.88939 0.39577 0.97302 0
12 1.2877 2.054 0.7127 0.39513 0.86825 0
4 4.0331 3.3199 -0.28645 0.10643 -0.17237 1
12 1.2877 0.94261 -0.55666 -0.07671 -0.41893 1
0.5 15.518 9.2929 -1.0931 -0.35856 -1.236 1
4 4.0331 1.9544 -1.2096 -0.43611 -1.2381 1
0.5 15.518 5.0094 -1.6884 -0.78794 -2.3976 1
1 12.422 4.514 -1.7444 -0.37847 -2.1387 1
0.5 15.518 15.429 -0.046304 0.14745 0.073996 1
12 1.2877 1.2789 -0.13604 0.14837 0.049108 1
12 1.2877 1.7342 0.33669 0.18053 0.56164 0
24 0.67765 0.98489 0.46232 0.40496 0.58018 0
0.5 15.518 13.967 -0.27999 0.040693 -0.15283 1
12 1.2877 1.2098 -0.21852 0.15753 -0.06018 1
1 12.422 7.8323 -1.1002 -0.4725 -1.1925 1
12 1.2877 0.67095 -0.76331 -0.071535 -0.73328 1
4 4.0331 3.078 -0.44034 0.078585 -0.34374 1
12 1.2877 0.84268 -0.72316 -0.15421 -0.68089 1
4 4.0331 3.9983 0.10441 0.10524 0.18542 0
24 0.67765 0.67471 -0.036071 0.20886 0.18454 0
